Vessel_ID,IATTC_Number.x,Vessel_Name.x,Call_Sign.x,Port_of_Registration.x,Port_of_Registration_State.x,Length.m.,Beam..m.,Depth..m.,Gross_Ton.mt.,Engine_Power.hp..x,Year_Built.x,Hull_Material.y,Fish.hold.volume..m3.,Gear.x
223633,NA,PORTLOCK,WB9699,Seattle,WA,18.46997867,4.998476074,2.560195062,52,NA,1924,Wood,NA,NA
223808,10489,Mabel,WDC4145,Coos Bay,OR,14.02,3.04,1.67,27,125,1924,Wood,19,Troll
224191,NA,Tatoose,WP6613,Portland,OR,14.42073171,NA,NA,28,NA,1924,Wood,NA,NA
224414,NA,HAVANA,WDC6264,Honolulu,HI,20.2377324,5.821395916,2.712587626,69,300,1925,Wood,NA,NA
224713,NA,THOR,WBH4544,Seattle,WA,18.89667784,5.242304176,2.621152088,70,350,1925,Wood,NA,NA
224912,NA,FAYBELLE,WH2547,Fort Bragg,CA,12.74001829,3.68790003,1.798232246,16,NA,1925,Wood,NA,NA
225295,12785,Condor II,WAX3076,Ilwaco,WA,11.27,3.5,1.55,14,110,1926,Wood,NA,Troll
225374,13831,Carol M,WDE7773,Seattle,WA,18.89,4.69,2.4,39,350,1926,Wood,NA,Multi-purpose
225754,NA,AUDREY,WB5584,NOYO,CA,13.10576044,3.505028955,1.920146297,20,83,1926,Wood,NA,NA
226392,13535,Merkur,WDC4876,Garibaldi,OR,11,3.44,1.73,12,80,1927,Wood,NA,Multi-purpose
226438,13035,Beloit II,WDF3980,Everett,WA,15.6,4.35,2.31,32,180,1927,Wood,NA,Multi-purpose
226508,13049,Rogue,WDD6599,Crescent City,CA,16.03,4.32,1.52,22,318,1927,Wood,NA,Troll
226744,13870,Eclipse,WDI7658,Astoria,OR,20.51,5.18,2.49,59,250,1926,Wood,NA,Multi-purpose
226760,NA,Charlotte B,WDA8922,Newport,OR,17.62195122,NA,NA,48,NA,1927,Wood,NA,NA
